timestamp,symbol,moving_avg,volume_sum
2025-09-07 01:26:00,BNB,858.508,20.4978
2025-09-07 01:26:00,ADA,0.818557,26376.1
2025-09-07 01:26:00,ETH,4279.48,201.808
2025-09-07 01:26:00,LTC,111.869,252.701
2025-09-07 01:26:00,SOL,200.66,1970.48
2025-09-07 01:26:00,BTC,110209,4.27563
2025-09-07 01:26:00,XRP,2.8056,51116.8
2025-09-07 01:27:00,XRP,2.80577,44604.4
2025-09-07 01:27:00,ETH,4280.01,158.617
2025-09-07 01:27:00,SOL,200.67,1867.37
2025-09-07 01:27:00,LTC,111.869,249.526
2025-09-07 01:27:00,DOGE,0.215899,5.54656e+06
2025-09-07 01:27:00,ADA,0.818624,22965.1
2025-09-07 01:27:00,BNB,858.516,19.3354
2025-09-07 01:27:00,BTC,110209,4.34297
2025-09-07 01:28:00,ADA,0.818639,21903.5
2025-09-07 01:28:00,BNB,858.512,19.3364
2025-09-07 01:28:00,LTC,111.866,147.608
2025-09-07 01:28:00,DOGE,0.215892,5.39927e+06
2025-09-07 01:28:00,SOL,200.664,1883.4
2025-09-07 01:28:00,XRP,2.80564,46621.2
2025-09-07 01:28:00,BTC,110206,4.59554
2025-09-07 01:28:00,ETH,4279.95,147.991
2025-09-07 01:29:00,BNB,858.494,19.6573
2025-09-07 01:29:00,DOGE,0.215904,5.14129e+06
2025-09-07 01:29:00,LTC,111.865,147.425
2025-09-07 01:29:00,ADA,0.818635,22360.6
2025-09-07 01:29:00,BTC,110205,4.63484
2025-09-07 01:29:00,ETH,4279.84,140.249
2025-09-07 01:29:00,XRP,2.80561,48143.7
2025-09-07 01:29:00,SOL,200.65,2033.65
2025-09-07 01:30:00,BTC,110203,4.23635
2025-09-07 01:30:00,BNB,858.487,20.8012
2025-09-07 01:30:00,XRP,2.80558,46934.9
2025-09-07 01:30:00,SOL,200.648,2008.32
2025-09-07 01:30:00,ADA,0.818647,18869.7
2025-09-07 01:30:00,ETH,4279.78,136.197
2025-09-07 01:30:00,LTC,111.86,169.237
2025-09-07 01:30:00,DOGE,0.215903,5.04613e+06
2025-09-07 01:31:00,ADA,0.818669,21161.8
2025-09-07 01:31:00,XRP,2.80572,43702.7
2025-09-07 01:31:00,BTC,110202,4.01313
2025-09-07 01:31:00,DOGE,0.215906,4.55569e+06
2025-09-07 01:31:00,SOL,200.651,1853.09
2025-09-07 01:31:00,ETH,4279.66,133.431
2025-09-07 01:31:00,BNB,858.521,8.97438
2025-09-07 01:31:00,LTC,111.856,144.606
2025-09-07 01:32:00,BNB,858.545,9.01709
2025-09-07 01:32:00,LTC,111.861,165.643
2025-09-07 01:32:00,ADA,0.8187,21409.8
2025-09-07 01:32:00,XRP,2.80582,43801.7
2025-09-07 01:32:00,SOL,200.651,1485.3
2025-09-07 01:32:00,BTC,110201,3.78514
2025-09-07 01:32:00,DOGE,0.215903,4.50385e+06
2025-09-07 01:32:00,ETH,4279.64,132.028
2025-09-07 01:33:00,BTC,110196,4.66248
2025-09-07 01:33:00,LTC,111.842,155.741
2025-09-07 01:33:00,BNB,858.573,8.6779
2025-09-07 01:33:00,ETH,4279.43,133.453
2025-09-07 01:33:00,DOGE,0.215869,4.35139e+06
2025-09-07 01:33:00,ADA,0.81864,21227.9
2025-09-07 01:33:00,XRP,2.80581,56875.5
2025-09-07 01:33:00,SOL,200.64,1420.57
2025-09-07 01:34:00,SOL,200.628,1338.49
2025-09-07 01:34:00,ETH,4279.17,142.524
2025-09-07 01:34:00,LTC,111.836,148.313
2025-09-07 01:34:00,BNB,858.613,8.69649
2025-09-07 01:34:00,DOGE,0.215845,4.06215e+06
2025-09-07 01:34:00,XRP,2.80585,54741.4
2025-09-07 01:34:00,ADA,0.818508,21680.3
2025-09-07 01:34:00,BTC,110193,4.49282
2025-09-07 01:35:00,ADA,0.818471,22095.6
2025-09-07 01:35:00,BTC,110191,4.32564
2025-09-07 01:35:00,LTC,111.824,137.492
2025-09-07 01:35:00,ETH,4278.91,133.041
2025-09-07 01:35:00,DOGE,0.21582,4.2337e+06
2025-09-07 01:35:00,SOL,200.601,1259.93
2025-09-07 01:35:00,XRP,2.80589,54339.8
2025-09-07 01:35:00,BNB,858.646,8.543
2025-09-07 01:36:00,SOL,200.57,1148.63
2025-09-07 01:36:00,DOGE,0.215734,3.87029e+06
2025-09-07 01:36:00,ETH,4278.65,127.528
2025-09-07 01:36:00,BNB,858.745,7.26562
2025-09-07 01:36:00,ADA,0.818413,24985.7
2025-09-07 01:36:00,XRP,2.806,61989.7
2025-09-07 01:36:00,BTC,110187,4.52554
2025-09-07 01:36:00,LTC,111.803,152.01
2025-09-07 01:37:00,ADA,0.81833,27345.4
2025-09-07 01:37:00,LTC,111.789,156.516
2025-09-07 01:37:00,BTC,110184,4.04027
2025-09-07 01:37:00,XRP,2.80596,64760.7
2025-09-07 01:37:00,BNB,858.768,7.13377
2025-09-07 01:37:00,ETH,4278.01,130.465
2025-09-07 01:37:00,DOGE,0.21569,3.67982e+06
2025-09-07 01:37:00,SOL,200.532,1015.75
2025-09-07 01:38:00,LTC,111.767,148.327
2025-09-07 01:38:00,BNB,858.785,5.49633
2025-09-07 01:38:00,DOGE,0.215654,3.53298e+06
2025-09-07 01:38:00,BTC,110181,3.92294
2025-09-07 01:38:00,ADA,0.81823,17323.9
2025-09-07 01:38:00,SOL,200.468,1068.96
2025-09-07 01:38:00,ETH,4277.4,140.397
2025-09-07 01:38:00,XRP,2.80586,61848.1
2025-09-07 01:39:00,LTC,111.751,143.149
2025-09-07 01:39:00,BNB,858.798,4.80591
2025-09-07 01:39:00,ETH,4276.63,106.782
2025-09-07 01:39:00,BTC,110176,4.06894
2025-09-07 01:39:00,XRP,2.80563,64779.6
2025-09-07 01:39:00,ADA,0.818123,16640
2025-09-07 01:39:00,DOGE,0.215578,2.48844e+06
2025-09-07 01:39:00,SOL,200.427,1108.7
2025-09-07 01:40:00,XRP,2.80528,67443.6
2025-09-07 01:40:00,ADA,0.817937,19001.4
2025-09-07 01:40:00,SOL,200.409,1324.66
2025-09-07 01:40:00,LTC,111.744,120.32
2025-09-07 01:40:00,BTC,110172,3.96788
2025-09-07 01:40:00,ETH,4275.97,112.354
2025-09-07 01:40:00,DOGE,0.215544,2.27193e+06
2025-09-07 01:40:00,BNB,858.872,4.12655
